game,win,draw,lose,result,class,weak_beats_strong,draw,strong_beats_weak
巴 西3:1克罗地,1.3,5.05,11.14,w,1,0,0,1
墨西哥1:0喀麦隆,2.2,3.1,3.5,w,1,0,0,1
西班牙1:5荷 兰,1.83,3.32,4.75,l,1,1,0,0
智 利3:1澳大利,1.43,4.18,8.06,w,1,0,0,1
哥伦比3:0希 腊,1.82,3.25,4.92,w,1,0,0,1
乌拉圭1:3哥斯达,1.43,4.19,8.25,l,1,1,0,0
英格兰1:2意大利,2.9,3.08,2.43,l,1,0,0,1
科特迪2:1日 本,2.61,3.15,2.76,w,1,0,0,1
瑞 士2:1厄瓜多,2.38,3.1,3.13,w,1,0,0,1
法 国3:0洪都拉,1.32,5.16,10.86,w,1,0,0,1
阿根廷2:1波 黑,1.38,4.85,8.53,w,1,0,0,1
德 国4:0葡萄牙,2.01,3.41,3.71,w,1,0,0,1
伊 朗0:0尼日利,3.94,3.28,2.08,d,1,0,1,0
加 纳1:2美 国,2.44,3.22,2.93,l,1,1,0,0
俄罗斯 1:1 韩国,1.98,3.25,3.78,d,1,0,1,0
比利时 2:1 阿尔及利亚,1.35,4.51,8.3,w,1,0,0,1
巴 西0:0墨西哥,1.31,5.23,9.4,d,1,0,1,0
澳大利2:3荷 兰,13.13,6.38,1.21,l,1,0,0,1
西班牙0:2智 利,1.56,4.25,5.59,l,1,1,0,0
喀麦隆0:4克罗地,5.47,3.79,1.64,l,1,0,0,1
哥伦比2:1科特迪,2.06,3.36,3.64,w,1,0,0,1
乌拉圭2:1英格兰,3.52,3.49,2.06,w,1,1,0,0
日 本0:0希 腊,2.29,3.29,3.24,d,1,0,1,0
意大利0:1哥斯达,1.51,4.05,6.67,l,1,1,0,0
瑞 士2:5法 国,4.62,3.51,1.8,l,1,0,0,1
洪都拉1:2厄瓜多,5.48,3.9,1.61,l,1,0,0,1
尼日利亚 1:0 波黑,2.85,3.23,2.39,w,1,1,0,0
阿根廷1:0伊 朗,1.12,8.42,20.47,w,1,0,0,1
德 国2:2加 纳,1.3,5.47,9.39,d,1,0,1,0
比利时1:0俄罗斯,2.1,3.3,3.59,w,1,0,0,1
美 国2:2葡萄牙,4.55,3.79,1.74,d,1,0,1,0
澳大利0:3西班牙,7.55,4.87,1.44,l,1,0,0,1
荷 兰2:0智 利,2.53,3.36,2.73,w,1,0,0,1
喀麦隆1:4巴 西,19.36,8.26,1.13,l,1,0,0,1
克罗地1:3墨西哥,2.6,3.29,2.69,l,1,1,0,0
哥斯达0:0英格兰,4.31,3.78,1.79,d,1,0,1,0
意大利0:1乌拉圭,2.55,3.28,2.76,l,1,1,0,0
希 腊2:1科特迪,3.74,3.46,1.99,w,1,1,0,0
日 本1:4哥伦比,3.43,3.53,2.07,l,1,0,0,1
尼日利2:3阿根廷,8.48,3.97,1.45,l,1,0,0,1
洪都拉斯 0:3 瑞士,6.16,3.69,1.53,l,1,0,0,1
厄瓜多0:0法 国,5.16,3.95,1.64,d,1,0,1,0
葡萄牙2:1加 纳,1.91,4.16,3.47,w,1,0,0,1
美 国0:1德 国,8.72,2.99,1.64,l,1,0,0,1
韩 国0:1比利时,4.71,3.63,1.76,l,1,0,0,1
阿尔及1:1俄罗斯,3.67,3.54,2,d,1,0,1,0
巴 西1:1智 利,1.53,4.26,6.08,d,0,0,1,0
哥伦比2:0乌拉圭,2.01,3.32,3.87,w,0,0,0,1
荷 兰2:1墨西哥,2.05,3.33,3.71,w,0,0,0,1
哥斯达1:1希 腊,2.53,3.04,2.99,d,0,0,1,0
法 国2:0尼日利,1.42,4.45,8.01,w,0,0,0,1
德 国0:0阿尔及,1.29,5.49,10.11,d,0,0,1,0
阿根廷0:0vs瑞士,1.5,4.14,6.67,d,0,0,1,0
比利时0:0美 国,1.96,3.32,4.09,d,0,0,1,0
法国0:1德国,2.96,3.15,2.51,l,0,0,0,1
巴西2:1哥伦比,1.81,3.57,4.49,w,0,0,0,1
阿根廷1:0比利时,2.09,3.25,3.72,w,0,0,0,1
荷兰0:0哥斯达,1.48,4.13,7.1,d,0,0,1,0
巴西1:7德 国,2.67,3.14,2.76,l,0,1,0,0
荷兰0:0阿根廷,3.07,3.15,2.43,d,0,0,1,0
巴 西0:3荷 兰,2.19,3.59,3.14,l,0,1,0,0
德 国0:0阿根廷,2.25,3.21,3.39,d,0,0,1,0
