game,win,draw,lose,result,class
俄罗斯-沙特,1.43,4.28,8.96,w,1
埃及-乌拉圭,7.75,3.96,1.52,l,1
摩洛哥-伊朗,2.24,2.94,3.87,l,1
葡萄牙-西班牙,4.19,3.25,2.01,d,1
法国-澳大利亚,1.25,6.69,11.08,w,1
阿根廷-冰岛,1.33,5.06,10.67,d,1
秘鲁-丹麦,3.53,3.08,2.29,l,1
克罗地亚-尼日利亚,1.7,3.65,5.61,w,1
哥斯达黎加-塞尔维亚,4.93,3.32,1.85,l,1
德国-墨西哥,1.45,4.5,7.56,l,1
巴西-瑞士,1.43,4.42,8.43,d,1
瑞典-韩国,2.21,3.04,3.83,w,1
比利时-巴拿马,1.2,6.66,17.49,w,1
突尼斯-英格兰,8.69,4.26,1.44,l,1
哥伦比亚-日本,1.83,3.36,5.06,l,1
波兰-塞内加尔,2.41,3.08,3.31,l,1
俄罗斯-埃及,1.96,3.39,4.22,w,1
葡萄牙-摩洛哥,1.65,3.66,6.1,w,1
乌拉圭-沙特,1.21,6.56,16.55,w,1
伊朗-西班牙,17.97,6.59,1.2,l,1
丹麦-澳大利亚,1.92,3.37,4.47,d,1
法国-秘鲁,1.59,3.88,6.66,w,1
阿根廷-克罗地亚,2.06,3.27,4.02,l,1
巴西-哥斯达黎加,1.21,6.48,17.17,w,1
尼日利亚-冰岛,2.94,3.06,2.66,w,1
塞尔维亚-瑞士,2.75,3.02,2.88,l,1
比利时-突尼斯,1.33,5.02,10.82,w,1
韩国-墨西哥,5.47,3.68,1.71,l,1
德国-瑞典,1.49,4.44,6.97,w,1
英格兰-巴拿马,1.21,6.28,16.86,w,1
日本-塞内加尔,3.14,3.01,2.56,d,1
波兰-哥伦比亚,3.39,3.4,2.22,l,1
沙特-埃及,5.02,3.55,1.78,w,1
俄罗斯-乌拉圭,2.92,3.04,2.68,l,1
伊朗-葡萄牙,6.48,4,1.58,d,1
西班牙-摩洛哥,1.36,4.91,9.5,d,1
澳大利亚-秘鲁,2.92,3.45,2.44,l,1
丹麦-法国,5.15,2.84,2.04,d,1
冰岛-克罗地亚,4.2,3.76,1.86,l,1
尼日利亚-阿根廷,6.03,4.86,1.49,l,1
韩国-德国,16.5,7.55,1.18,w,1
墨西哥-瑞典,2.26,3.3,3.37,l,1
塞尔维亚-巴西,7.24,4.49,1.47,l,1
瑞士-哥斯达黎加,1.61,3.63,6.99,d,1
日本-波兰,2.92,3.15,2.67,l,1
塞内加尔-哥伦比亚,4.79,3.65,1.79,l,1
英格兰-比利时,2.51,2.9,3.4,l,1
巴拿马-突尼斯,4.23,3.64,1.89,l,1
法国-阿根廷,2.39,3.08,3.36,w,0
乌拉圭-葡萄牙,2.96,2.89,2.8,w,0
俄罗斯-西班牙,6.37,4.08,1.57,d,0
克罗地亚-丹麦,1.94,3.21,4.67,d,0
巴西-墨西哥,1.49,4.34,7.34,w,0
比利时-日本,1.4,4.7,8.84,w,0
瑞典-瑞士,3.27,2.93,2.54,w,0
哥伦比亚-英格兰,3.99,3.12,2.13,d,0
乌拉圭-法国,4.49,3.12,2.01,l,0
巴西-比利时,2.11,3.4,3.68,l,0
瑞典-英格兰,4.94,3.33,1.86,l,0
俄罗斯-克罗地亚,4.07,3.14,2.1,d,0
法国-比利时,2.57,3.15,3.01,w,0
克罗地亚-英格兰,3.74,3.02,2.27,d,0
比利时-英格兰,2.21,3.7,3.14,w,0
比利时-克罗地亚,2.09,3.14,4.16,w,0
